Word,Wordcount
mistä,17
ihan,17
jaa,17
nummen,17
kaatui,17
aapon,17
päällensä,17
iski,17
kävi,17
ulkona,17
otti,16
heillä,16
kaikista,16
kaikkia,16
veljensä,16
männistön,16
kotiansa,16
kädessä,16
iloinen,16
voimin,16
tuima,16
sanot,16
enää,16
kukin,16
tien,16
yhden,16
uusi,16
asiaa,16
kuluessa,16
peeveli,16
laki,16
toivon,16
hm,16
ota,16
sama,16
pojan,16
kukko,16
selkään,16
tapahtunut,16
vieläkin,16
laula,16
kourissa,16
muiden,16
katsoi,16
kohosi,16
täynnä,16
lumi,16
härkää,16
samoin,15
nähnyt,15
saman,15
sana,15
viipymättä,15
ilmaan,15
valkea,15
sauna,15
syystä,15
aivan,15
tuvassa,15
taida,15
kieltää,15
huomenna,15
pari,15
jotenkin,15
tahtoo,15
leipää,15
metsässä,15
pihalla,15
noh,15
sano,15
vahvasti,15
kenen,15
enkä,15
täältä,15
menneeksi,15
tuohon,15
vihan,15
nuori,15
minulla,15
ollaan,15
huoneen,15
sanaakaan,15
eteen,15
asian,15
sydämeni,15
ihmiset,15
armoa,15
juoksivat,15
tuuli,15
ympärillensä,15
timon,15
kivi,15
katosi,15
heidät,15
löytyy,15
kylliksi,15
talven,15
pyssyt,15
alkoi,15
koirien,15
onkos,15
jukolaan,15
kiitos,15
ankaran,14
matkan,14
asetti,14
istuu,14
seurasi,14
vieläpä,14
johon,14
toki,14
ensiksi,14
uhkea,14
oman,14
pirtti,14
aholle,14
valmis,14
joko,14
elämän,14
huomaa,14
täyttä,14
ankarasti,14
tyttö,14
kuule,14
ainoata,14
pidä,14
korkeuteen,14
kaiketi,14
ovi,14
vihaisesti,14
kävivät,14
koira,14
tieltä,14
annan,14
päiviä,14
juho,14
karkasivat,14
hetkellä,14
äsken,14
voimaa,14
suustansa,14
kuusen,14
korkea,14
sanoppas,14
äkeä,14
tarina,14
entinen,14
meidät,14
suus,14
pirtissä,14
pientä,14
taulamatti,14
kuulkaat,14
ennenkuin,13
toiset,13
joiden,13
olivatpa,13
äitinsä,13
päättivät,13
lähteä,13
ristiin,13
ennenkin,13
välistä,13
parasta,13
mennä,13
oivallinen,13
itsellemme,13
miehestä,13
millä,13
huuto,13
palasivat,13
taloa,13
ainakin,13
maailmassa,13
valta,13
lain,13
oma,13
eikö,13
sanoa,13
rauhan,13
vanhan,13
kirkas,13
vuoteellensa,13
sanoo,13
kirves,13
opetan,13
välillä,13
aapiskirja,13
hyvää,13
oven,13
tukka,13
eteensä,13
tahdomme,13
entisen,13
hammasta,13
junkkari,13
makaa,13
oi,13
työ,13
makeasti,13
jumalaa,13
lepäsivät,13
perään,13
mikon,13
karhu,13
noita,13
vaikeni,13
silmä,13
perässä,13
iloisesti,13
tuntui,13
seljässä,13
lepoon,13
kallistui,13
kuolema,13
erään,12
löi,12
kelpo,12
eukko,12
näkivät,12
askelta,12
saunan,12
sinusta,12
yöt,12
iltana,12
häh,12
tahdot,12
voimalla,12
metsästä,12
toisin,12
tarvitse,12
suden,12
lämmin,12
saatana,12
jotakin,12
hartaasti,12
saa,12
vakaasti,12
mielellä,12
sydämensä,12
enhän,12
helvetin,12
pää,12
lähtekäämme,12
aamu,12
tänä,12
aatos,12
jolla,12
nämät,12
suunsa,12
nopeasti,12
kirottu,12
korkeuden,12
mitäs,12
hirveästi,12
riivattu,12
harjulla,12
vanhin,12
pääni,12
nummella,12
kolistimen,12
rynkäsi,12
usko,12
ihanasti,12
kiiriskeli,12
leimaus,12
lepäsi,12
impi,12
nukkui,12
uutta,12
ottaa,12
pihalle,12
pitkä,12
muista,12
veljeksistä,12
provastimme,12
paikkaa,12
valko,12
kontion,12
yksin,12
pirttiin,12
oikealle,12
vasemmalle,12
silmillä,12
veljen,11
vuotta,11
rinnalla,11
mielensä,11
huoneessa,11
kertoili,11
maasta,11
kuultelivat,11
lähestyvän,11
valkean,11
juurelle,11
ympärille,11
katsoa,11
ai,11
kuokkalan,11
juoksemaan,11
huomasivat,11
olette,11
iskivät,11
päättyi,11
miehelle,11
tekemistä,11
käykäämme,11
linnan,11
työtä,11
talosta,11
tulkoon,11
itsellensä,11
neljä,11
ainoa,11
illan,11
pyörii,11
nousee,11
päätä,11
asiasta,11
meteli,11
luulenpa,11
päällemme,11
hellitä,11
päänsä,11
lukkarille,11
tyyni,11
syyskuun,11
pitkän,11
ihmisen,11
taidamme,11
seurasivat,11
näytti,11
edessään,11
kasvoilla,11
suuren,11
välimmiten,11
peloittava,11
veri,11
milloinkaan,11
pieniä,11
helvettiin,11
mitähän,11
niitun,11
jona,11
vähemmin,11
kaisan,11
tästälähin,11
nuorukainen,11
teidät,11
paistoi,11
paras,11
olekkaan,11
provasti,11
kiivasta,11
kuuluu,11
uudestaan,11
keskellä,11
kulki,11
suusta,11
rauha,11
henkensä,11
kertaa,11
palasi,11
pahasti,11
silmiänsä,11
housut,11
keinoa,11
nahkapeitturin,11
valmiina,11
lapset,11
mäen,10
pellot,10
toisensa,10
viettivät,10
ihmeitä,10
mieluisasti,10
pakenivat,10
muuttui,10
metsät,10
suon,10
viskasi,10
susien,10
huikea,10
maassa,10
veljeksille,10
mieheen,10
kiekko,10
kului,10
uunin,10
astua,10
luoksi,10
loppu,10
villitty,10
äitimme,10
tehkäämme,10
kultainen,10
tosi,10
onni,10
luullakseni,10
joista,10
vimmatusti,10
muorin,10
istu,10
hirveä,10
ajoissa,10
lyö,10
poikaseni,10
varjele,10
etkö,10
läpi,10
nimessä,10
viisas,10
ovea,10
ahkerasti,10
lausuen,10
karkasi,10
pakeni,10
kunnian,10
silmäni,10
taloon,10
hullu,10
muistellen,10
tulinen,10
jukolassa,10
heittää,10
purren,10
katsoen,10
kenties,10
päätänsä,10
tuossahan,10
kotonsa,10
miehenä,10
rukoili,10
karhua,10
sonnimäen,10
ohi,10
mielestäni,10
uskon,10
kolmas,10
istuvat,10
ilta,10
kieltä,10
itke,10
jäljessä,10
löytyi,10
surkeasti,10
istumme,10
häpeän,10
niinhän,10
vaiheilla,10
peevelin,10
siitäpä,10
teiltä,10
kertoa,10
kertoi,10
kaunis,10
siirtyi,10
muutama,10
ympärillään,10
astuu,10
alati,10
kysyn,10
hyväänsä,10
ajan,10
hengen,10
jäljessään,10
kyyneleitä,10
